Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsWithCurrManager,Attrition,YearsSinceLastPromotionMEAN
30.0,Travel_Rarely,Research & Development,1.0,1.0,Life Sciences,4.0,Male,2.0,2.0,Laboratory Technician,4.0,Married,5126.0,1.0,Yes,12.0,3.0,2.0,10.0,1.0,2.0,10.0,0.0,0.0,5.5
38.0,Travel_Rarely,Research & Development,2.0,2.0,Medical,4.0,Female,2.0,3.0,Manufacturing Director,3.0,Married,7756.0,3.0,Yes,19.0,4.0,1.0,10.0,6.0,4.0,5.0,2.0,0.0,2.0
26.0,Travel_Rarely,Research & Development,6.0,3.0,Other,3.0,Female,2.0,1.0,Research Scientist,2.0,Married,2368.0,1.0,No,19.0,3.0,0.0,5.0,3.0,2.0,5.0,3.0,0.0,4.0
28.0,Travel_Rarely,Research & Development,8.0,2.0,Life Sciences,4.0,Female,3.0,1.0,Research Scientist,4.0,Single,3310.0,1.0,No,21.0,4.0,0.0,5.0,3.0,3.0,5.0,2.0,0.0,1.5
35.0,Travel_Rarely,Research & Development,4.0,2.0,Other,3.0,Male,3.0,1.0,Laboratory Technician,4.0,Divorced,1951.0,1.0,No,12.0,3.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0
34.0,Travel_Rarely,Human Resources,9.0,4.0,Technical Degree,1.0,Female,3.0,1.0,Human Resources,3.0,Married,2742.0,1.0,No,15.0,4.0,0.0,2.0,0.0,3.0,2.0,2.0,1.0,2.0
32.0,Travel_Rarely,Research & Development,3.0,2.0,Life Sciences,3.0,Female,3.0,3.0,Research Director,4.0,Single,11159.0,3.0,No,15.0,4.0,0.0,10.0,6.0,3.0,7.0,7.0,0.0,7.0
42.0,Travel_Rarely,Research & Development,2.0,3.0,Medical,4.0,Female,2.0,1.0,Laboratory Technician,1.0,Divorced,2593.0,0.0,Yes,11.0,3.0,1.0,10.0,4.0,3.0,9.0,8.0,0.0,6.5
34.0,Travel_Frequently,Sales,6.0,2.0,Marketing,4.0,Female,1.0,1.0,Sales Representative,3.0,Divorced,2351.0,0.0,No,16.0,4.0,1.0,3.0,3.0,2.0,2.0,0.0,1.0,1.5
40.0,Travel_Rarely,Research & Development,4.0,1.0,Medical,4.0,Female,3.0,5.0,Manager,3.0,Married,19033.0,1.0,No,14.0,2.0,1.0,21.0,2.0,3.0,20.0,9.0,0.0,8.5
48.0,Travel_Rarely,Research & Development,4.0,3.0,Life Sciences,4.0,Male,3.0,3.0,Manufacturing Director,4.0,Single,7898.0,1.0,No,11.0,3.0,0.0,11.0,2.0,3.0,10.0,8.0,0.0,4.5
28.0,Travel_Rarely,Research & Development,1.0,3.0,Life Sciences,3.0,Male,3.0,1.0,Research Scientist,4.0,Married,2044.0,1.0,No,11.0,3.0,1.0,5.0,6.0,4.0,5.0,3.0,0.0,1.5
39.0,Travel_Rarely,Sales,5.0,3.0,Technical Degree,4.0,Male,3.0,2.0,Sales Representative,4.0,Married,2086.0,3.0,No,14.0,3.0,1.0,19.0,6.0,4.0,1.0,0.0,1.0,0.0
38.0,Travel_Rarely,Research & Development,1.0,4.0,Life Sciences,2.0,Female,4.0,2.0,Healthcare Representative,4.0,Single,7625.0,0.0,No,13.0,3.0,0.0,10.0,4.0,2.0,9.0,8.0,0.0,4.0
32.0,Travel_Rarely,Research & Development,2.0,3.0,Medical,4.0,Male,3.0,2.0,Research Scientist,2.0,Divorced,5470.0,0.0,No,13.0,3.0,2.0,10.0,4.0,2.0,9.0,6.0,0.0,3.0
43.0,Travel_Rarely,Human Resources,2.0,3.0,Life Sciences,2.0,Male,3.0,1.0,Human Resources,4.0,Single,3539.0,0.0,No,13.0,2.0,0.0,10.0,5.0,3.0,9.0,8.0,0.0,4.0
28.0,Travel_Rarely,Research & Development,9.0,3.0,Medical,3.0,Female,3.0,1.0,Research Scientist,3.0,Divorced,2377.0,5.0,No,18.0,2.0,1.0,6.0,2.0,3.0,2.0,2.0,0.0,2.0
30.0,Travel_Frequently,Research & Development,4.0,3.0,Technical Degree,3.0,Male,3.0,1.0,Research Scientist,4.0,Single,2285.0,9.0,Yes,23.0,3.0,0.0,3.0,4.0,3.0,1.0,0.0,1.0,0.0
21.0,Travel_Rarely,Sales,22.0,1.0,Technical Degree,3.0,Male,3.0,1.0,Sales Representative,3.0,Single,3447.0,1.0,No,11.0,3.0,0.0,3.0,2.0,3.0,3.0,2.0,0.0,1.5
